Ruta;Descripción;Km por Viaje;Tarifa Vigente
65;SAN JOSE-ZAPOTE Y RAMALES;(GPS);
;SAN JOSE-ZAPOTE x ITAN;5,325;235
;SAN JOSE-ZAPOTE-CURRIDABAT x LA PISTA;7,05;235
;;;
51-53;SAN JOSE-VARGAS ARAYA Y LOTES PINTO;(GPS);
;SAN JOSE-VARGAS ARAYA-MONTERREY;5,705;265
;SAN JOSE-URBANIZACION CARMIOL;4,75;265
;SAN JOSE-LOTES PINTO;4,785;265
;;;
56;SAN JOSE-SAN RAMON DE LA UNION;(GPS);
;SAN JOSE-SAN RAMON DE LA UNION;12,82;265
;SAN JOSE-SAN RAMON   EXT LA CAMPIÑA-LAS MANSIONES;10,9;265
;;;
62;SAN JOSE-SABANILLA;(GPS);
;SAN JOSE-SABANILLA;7,075;260
;;;
62 BS;SAN JOSE-SABANILLA (BUSETAS);(GPS);
;SAN JOSE-SABANILLA;7,075;260
;;;
58;SAN JOSE-CONCEPCION DE LA UNION;;
;SAN JOSE-SAN FRANCISCO;13,45;330
;SAN JOSE-CONCEPCION DE LA UNION;11,7;330
;SAN JOSE-GUAYABO;7,65;285
;SAN JOSE-CRUCE A CONCEPCION;5,4;285
;;;
72-64-61 A;SAN JOSE-SAN ANTONIO DE DESAMPARADOS Y RAMALES;(GPS);
;SAN JOSE-TIRRASES x SAN FRANCISCO;8,27;365
;SAN JOSE-SAN FRANCISCO DE DOS RIOS-LA COLINA;6,025;270
;SAN JOSE-SAN FRANCISCO DE DOS RIOS-Bº SAN JOSE;5,915;270
;SAN JOSE-SAN ANTONIO-PATARRA-GUATUSO;11,595;270
;SAN JOSE-SAN ANTONIO-SAN LORENZO;8,075;270
;SAN JOSE-LINDA VISTA x SAN FRANCISCO;10,08;270
;SAN JOSE-LINDA VISTA x DESAMPARADOS;10,825;270
;SAN JOSE-SAN ANTONIO-Bº FATIMA;7,85;270
;SAN JOSE-SAN ANTONIO-RIO AZUL-QUEBRADAS;9,475;270
;;;
66 BS;SAN JOSE-EL BOSQUE-LA PACIFICA;(GPS);
;SAN JOSE-EL BOSQUE-LA PACIFICA;6,59;285
;;;
70-71-73-119;SAN JOSE-DESAMPARADOS Y RAMALES;(GPS);
;SAN JOSE-DESAMPARADOS-SAN RAFAEL;8,15;245
;SAN JOSE-DESAMPARADOS-MONTE CLARO;5,95;245
;SAN JOSE-DESAMPARADOS-LOMA LINDA;6,05;245
;SAN JOSE-DESAMPARADOS-VILLA NUEVA;6,95;245
;SAN JOSE-DESAMPARADOS-PORVENIR;6,4;245
;SAN JOSE-DESAMPARADOS-DOS CERCAS;6,5;245
;SAN JOSE-DESAMPARADOS-PORVENIR-DOS CERCAS;7,45;245
;SAN JOSE-DESAMPARADOS-CALLE FALLAS;7,8;245
